customer_id;amount_balance
100001;1988.681082219825
100002;5932.3885872002675
100003;975.1717514719359
100004;557.529858110765
100005;670.1793384079583
100006;282.9539252876233
100007;5747.507059202573
100008;2118.2821918405043
100009;918.0699121401422
100010;1584.1083665223055
100011;469.5706380565514
100012;4296.174975352135
100013;3961.4363887532622
100014;252.67895131679643
100015;6247.271911466341
100016;3786.7150133039318
100017;1489.6853330900212
100018;98.1865393859535
100019;314.51669260851196
100020;2612.1292986112103
100021;6478.897112651046
100022;3129.9411055329747
100023;3140.6849828897566
100024;370.7193791580945
100025;1240.7632479461768
100026;56.20342315504759
100027;2983.40285561212
100028;1060.8286751019414
100029;2328.1831556323596
100030;359.2666221582464
100031;7430.533691828791
100032;156.85529313001814
100033;176.0034737462632
100034;129.79546422043094
100035;1702.061182828976
100036;3813.829664063577
100037;4077.365630455356
100038;1120.351111657178
100039;146.2186952746159
100040;2031.0389838102806
100041;652.274290238586
100042;5468.765333768188
100043;4109.576133444896
100044;496.3364507512439
100045;5453.450702170575
100046;3064.0493974424517
100047;403.52142923455796
100048;1046.0011140856047
100049;4304.438500948347
100050;1285.7131092507123
100051;111.4780274422043
100052;2063.4364751029398
100053;415.99552846968305
100054;7409.135151496669
100055;1367.8402938505296
100056;1341.119080381288
100057;3933.444096755701
100058;423.03307606322653
100059;557.8697813463074
100060;4552.310835251794
100061;4110.089882586622
100062;4847.586046432359
100063;3706.8766417541706
100064;2061.914223122306
100065;5111.065967068502
100066;131.27899756512858
100067;3594.537856843008
100068;6375.368825226921
100069;4844.671657355682
100070;1442.1771973662887
100071;2350.6865570654277
100072;224.2811982678155
100073;4026.962910607297
100074;1597.3983807629293
100075;2848.7082540576607
100076;4484.341930274187
100077;746.0620590499459
100078;1473.872740710501
100079;6170.771031609509
100080;539.5143692240983
100081;232.7007850345086
100082;862.6300332593938
100083;1171.7587109429642
100084;947.2514050417203
100085;1551.126572358268
100086;3517.495614850334
100087;1711.7527858111623
100088;4444.170955785514
100089;1640.9843552390914
100090;3605.4090735118957
100091;4135.636776780093
100092;2495.3435581767817
100093;6171.592284282723
100094;1486.7793940239544
100095;1906.2828784275048
100096;781.6234872611643
100097;2772.5969556953933
100098;236.69998133940777
100099;1147.8499355486063
100100;1397.5208495779561
100101;4844.695170738874
100102;263.0103979519299
100103;5753.225791188064
100104;3417.212619375805
100105;1863.1079869127313
100106;6641.335982542137
100107;2887.6548531737594
100108;2203.355669600975
100109;2316.861287249163
100110;4881.728845498189
100111;5461.097100609184
100112;2960.1121927032664
100113;253.67871363936982
100114;15.725404940563454
